北京映翰通网络技术股份有限公司,北京朝阳区望京利泽中园101号启明国际大厦11层,Python开发实施工程师
成都亚然科技中心,四川成都锦江区青和里北段阳光新业中心-1号楼,Pythondjango开发工程师(成都亚然科技中心)
成都澳坦,成都市青羊区广富路8号,Python后端工程师（TECH）
深圳市银河风云网络系统股份有限公司,深圳市南山区科技园北区新西路5号风云大厦6楼,Python开发工程师(深圳市银河风云网络系统股份有限公司)
成都博恩电科信息科技有限公司,高新西区天辰路88号电子科技大学西区科技园,Python工程师
思特沃克软件技术（成都）有限公司,天府软件园E1区,后端开发（JAVA，C#，Python）(思特沃克软件技术（成都）有限公司)
成都云动智联科技有限公司,成都高新区软件园C区C7负一楼,Python工程师
成都数联铭品科技有限公司,成都市棕榈泉国际金融中心21层,Python
上海德拓信息技术有限公司,成都市天府大道666号希顿国际广场C1406室,Python开发工程师
中国电子科技网络信息安全有限公司,成都市大件路文星段289号,Python开发工程师
成都路行通信息技术有限公司,成都市高新区天府大道中段530号东方希望天祥广场5幢14F,Python（Django）研发
成都麦子信息技术有限公司,成都市高新区天府软件园D区D5栋11楼,Python工程师
成都云数海量智能科技有限公司,成都环球中心,python高级开发工程师
四川倍施特科技股份有限公司,益州大道德商国际,Python
中国电子科技网络信息安全有限公司,四川省成都市双流县航空港大件路文星段289号,Python爬虫工程师
宜高美信息服务（成都）有限公司,天府二街129号水电大厦11楼,自动化测试工程师-Python(宜高美信息服务（成都）有限公司)
成都仁和安信科技有限公司,四川成都高新区天府软件园G5,急招资深python工程师(成都仁和安信科技有限公司)
深圳市博雅成信金融服务有限公司,高新区金融城天府金融中心4号楼,Python开发工程师(深圳市博雅成信金融服务有限公司)
四川源码时代科技有限公司,四川成都高新区府城大道西段天府新谷5号楼6楼,Python高级讲师(四川源码时代科技有限公司)
湖南潭州教育网络科技有限公司,湖南省长沙市岳麓区岳麓大道588号芯城科技园10栋  11栋,Python爬虫工程师
成都火龙果科技有限公司,成都市高新区天府三街69号,游戏后台程序开发（Python）(成都火龙果科技有限公司)
海南太美航空股份有限公司,海甸岛四东路寰岛大厦8楼,Python开发工程师（大数据方向）
上海点融信息科技有限责任公司,局门路瞿溪路,高级Python数据研发工程师-CD3446(上海点融信息科技有限责任公司)
成都索贝数码科技股份有限公司,川省成都市高新区新加坡工业园新元大道南二路2号,Python开发工程师(成都索贝数码科技股份有限公司)
成都数联铭品科技有限公司,双龙航空港经济区机场路9号太升国际A2座9F,中级Python工程师(成都数联铭品科技有限公司)
成都钱方科技有限公司,成都市天府大道南段2039号天府创客,Python开发工程师(成都钱方科技有限公司)
东方天呈文化传媒有限公司,四川成都高新区天府三街199号B座17楼,python初级研发工程师(东方天呈文化传媒有限公司)
宜高美信息服务（成都）有限公司,天府二街129号水电大厦11楼,Python后端开发工程师(宜高美信息服务（成都）有限公司)
上海点融信息科技有限责任公司,局门路瞿溪路,后端Python工程师-CD3413(上海点融信息科技有限责任公司)
成都俊云科技有限公司,成都市武侯区新希望路七号丰德万瑞中心,python开发工程师
思特沃克软件技术(西安)有限公司,东城区国华投资大厦11层,后端开发（JAVA，C，Python）(思特沃克软件技术有限公司)
成都琛石科技有限公司,成都市天府软件园,Python高级讲师(成都琛石科技有限公司)
成都捷云智慧科技有限公司,四川成都高新区新希望国际B座2113室,Python(成都捷云智慧科技有限公司)
网信集团有限公司,北京市朝阳区霄云路28号院2号楼 网信大厦A座,Python开发工程师(网信集团)
北京天广汇通科技有限公司成都分公司,四川成都高新区天府软件园B8-6楼,Python高级工程师(北京天广汇通科技有限公司成都分公司)
北京钱方银通科技有限公司,望京SOHO中心T3A座17层,Python开发工程师（成都）(北京钱方银通科技有限公司)
钱方好近科技(天津)股份有限公司,北京市朝阳区阜通东大街1号院望京SOHO中心T3 A座17层,python开发工程师(钱方好近)
四川海德智和科技有限公司,东方广场C座七楼,Python开发工程师(四川海德智和科技有限公司)
成都好玩一二三科技有限公司,成都市高新区天府软件园D区D53F,运维开发工程师(python)(成都好玩一二三科技有限公司)
成都励慧网络科技有限公司,成都市高新区天仁路387号大鼎世纪广场三栋1303（1号线成都南站C出口直行100米）,Python开发工程师(成都励慧网络科技有限公司)
成都天一成网络技术有限公司,成都高新区吉泰五路88号香年广场T2,python开发
成都路行通信息技术有限公司,成都市高新区天府大道中段530号东方希望天祥广场5幢14F,Python开发工程师（中高级）(成都路行通信息技术有限公司)
四川源码时代科技有限公司,四川成都高新区府城大道西段天府新谷5号楼6楼,python高级开发工程师(四川源码时代科技有限公司)
成都数联铭品科技有限公司,双龙航空港经济区机场路9号太升国际A2座9F,KunLun-系统研发工程师(Go/Python)(成都数联铭品科技有限公司)
成都数联铭品科技有限公司,双龙航空港经济区机场路9号太升国际A2座9F,算法工程师（python）(成都数联铭品科技有限公司)
成都源代码教育咨询有限公司,成都市高新区府城大道西段399号天府新谷1号楼601,Python讲师(成都源代码教育咨询有限公司)
成都清数聚云科技有限公司,四川成都高新区天府三街,Python后端开发(成都清数聚云科技有限公司)
成都路行通信息技术有限公司,成都市高新区天府大道中段530号东方希望天祥广场5幢14F,Python（Django）研发工程师(成都路行通信息技术有限公司)
成都知道创宇信息技术有限公司,成都天府软件园B5八楼（可乘坐公交102、118、84路公交到天府软件园东侧下、或乘坐地铁1号线世纪城站下C出口直行800米）,Python工程师(成都知道创宇信息技术有限公司)
成都知道创宇信息技术有限公司,成都天府软件园B5八楼（可乘坐公交102、118、84路公交到天府软件园东侧下、或乘坐地铁1号线世纪城站下C出口直行800米）,服务器端(Python)研发工程师(成都知道创宇信息技术有限公司)
上海易贷网金融信息服务有限公司四川分公司,四川广电国际大厦,python运维开发工程师(上海易贷网金融信息服务有限公司四川分公司)
云至科技成都有限责任公司,成都市高新区府城大道天府新谷7号楼1单元-1601,python高级开发工程师
网信集团有限公司,北京北京朝阳区霄云路28号院网信大厦A座,Python开发工程师(网信集团有限公司)
成都知道创宇信息技术有限公司,成都天府软件园B5八楼（可乘坐公交102、118、84路公交到天府软件园东侧下、或乘坐地铁1号线世纪城站下C出口直行800米）,Python开发实习生(成都知道创宇信息技术有限公司)
北京千锋互联科技有限公司,宝盛北里西区28号天丰利商城4层,python讲师(北京千锋互联科技有限公司)
四川摩奇信息技术有限公司,四川省成都市锦江区红星路3段1号国际金融中心IFSTowerone13A层,PythonDeveloperPython开发(四川摩奇信息技术有限公司)
成都斯沃茨科技有限公司,成都市武侯区凯莱帝景C座12C,Python后端开发（web方向、晋升空间大）(成都斯沃茨科技有限公司)
成都斯沃茨科技有限公司,成都市武侯区凯莱帝景C座12C,Pythonweb后端开发（急）(成都斯沃茨科技有限公司)
成都市肆零肆网络科技有限公司,四川成都武侯区高朋大道5号B座301室,Python后端工程师(成都市肆零肆网络科技有限公司)
成都思应科技中心,成都市锦江区青和里北段阳光新业中心-1号楼,Python程序员(成都思应科技中心)
成都市肆零肆网络科技有限公司,四川成都武侯区高朋大道5号B座301室,Python高级开发工程师(成都市肆零肆网络科技有限公司)
成都亚然科技中心,四川成都锦江区青和里北段阳光新业中心-1号楼,Python爬虫开发工程师(成都亚然科技中心)
成都宜汇微通科技有限公司,四川成都新都区蜂云谷二层,Python工程师(成都宜汇微通科技有限公司)
四川万众启源信息技术有限公司,四川成都锦江区银石广场,Python(四川万众启源信息技术有限公司)
达内时代科技集团有限公司,北京市海淀区文博大厦,Python技术辅导老师/人工智能项目经理(达内时代科技集团有限公司)
宜高美信息服务(成都)有限公司,天府二街139号水电大厦11楼,Python后端开发工程师
成都琛石科技有限公司,成都市天府软件园,Python初级工程师(成都琛石科技有限公司)
杭州安恒信息技术有限公司,杭州市滨江区通和路68号中财大厦15楼,python（成都）(安恒信息技术)
成都琛石科技有限公司,成都市天府软件园,实验设计工程师（Python/云计算/大数据领域）(成都琛石科技有限公司)
朗擎网络科技（上海）有限公司,上海上海闸北区灵石路658号大宁财智中心1302,Python开发工程师(实习)(朗擎网络科技（上海）有限公司)
索贝数码科技股份有限公司,成都市高新区新加坡工业园新园大道南二路二号,python开发
北京58信息技术有限公司成都分公司,四川 成都 锦江 百扬大厦,Python实验设计师
四川微之门信息技术有限公司,高新区天府三街19号新希望国际大厦A栋1405,Python开发工程（高级）(四川微之门信息技术有限公司)
西安恒居置业有限公司,陕西 西安 灞桥区 浐灞半岛A13区33号楼下,Python工程师
朗擎网络科技（上海）有限公司,上海上海闸北区灵石路658号大宁财智中心1302,Python开发工程师(朗擎网络科技（上海）有限公司)
新蛋科技（成都）有限公司,天府软件园A6-5F,系统工程师（Python开发工程师）(新蛋科技（成都）有限公司)
北京五八信息技术有限公司成都分公司,四川 成都 锦江 东御街18号百扬大厦19层,python工程师
成都小漫科技有限公司,四川成都高新区天府三街腾讯大厦B座8层,python研发工程师(中级)(成都小漫科技有限公司)
EMC,上海市杨浦区五角场创智天地,成都R92397SoftwareSystemEngineerLinux/Windows/Python/Perl
成都贝尔通讯实业有限公司,高新区科园南二路1号,Python工程师
成都数联铭品科技有限公司,成都市高新区天府大道中段199号棕榈泉国际金融中心21楼,python研发工程师（乘方大数据）
四川鑫中鑫实业有限责任公司,锦江区时代1号1705,Python工程师
宜高美信息服务(成都)有限公司,天府二街139号水电大厦11楼,自动化测试工程师Python
思特沃克软件技术（成都）有限公司,天府软件园E1区,【成都】后端开发（JAVA，C#，Python）(思特沃克软件技术（成都）有限公司)
成都斯沃茨科技有限公司,成都市武侯区凯莱帝景C座12C,Python后端开发(成都斯沃茨科技有限公司)
文思海辉技术有限公司,北京市海淀区西小口路66号东升科技园C-4,Python开发工程师(文思海辉)
成都数联铭品科技有限公司,成都市高新区天府大道中段199号棕榈泉国际金融中心21楼,中级Python工程师
成都小漫科技有限公司,四川成都高新区天府三街腾讯大厦B座8层,python研发工程师(成都小漫科技有限公司)
四川摩奇信息技术有限公司,四川省成都市锦江区红星路3段1号 国际金融中心IFS Tower one 13A层,Python Developer
成都思应科技中心,成都市锦江区青和里北段阳光新业中心-1号楼,python开发实习生(成都思应科技中心)
四川摩奇信息技术有限公司,四川省成都市锦江区红星路3段1号 国际金融中心IFS Tower one 13A层,Python开发工程师
北京千锋互联科技有限公司,北京海淀区宝盛北里西区28,Python讲师(北京千锋互联科技)
四川世博通科技有限公司,四川成都武侯区成都市人民南路三段一号,Python爬虫工程师(四川世博通科技有限公司)
成都创信云通科技有限公司,成都市高新区吉泰五路88号香年广场T2-23F,Python自动化测试工程师
成都知数科技有限公司,高新区 天府五街菁蓉国际广场2A901室,Python后端开发工程师
成都睿银信息技术有限公司,天府大道中段西顿国际广场2002,Python后台开发工程师(成都睿银信息技术有限公司)
瑞数信息技术(上海)有限公司,上海市徐汇区富民路291号,软件开发工程师（工具开发 Python）(瑞数)
成都斯沃茨科技有限公司,成都市武侯区凯莱帝景C座12C,Python工程师（急）(成都斯沃茨科技有限公司)
云和恩墨(北京)信息技术有限公司,北京市朝阳区光华路9号光华路soho二期B座10层10-3.10-5,python工程师(云和恩墨信息技术)
昊盈信息技术（成都）有限公司,四川省成都市锦江区红星路3段1号国际金融中心1号办公楼F17,Python开发工程师(昊盈信息技术（成都）有限公司)
江苏博智软件科技股份有限公司,南京软件大道168号润和软件园3栋5层,python开发工程师
成都亚然科技中心,四川成都锦江区青和里北段阳光新业中心-1号楼,Pythondjango开发工程师/实习生(成都亚然科技中心)
四川中电启明星信息技术有限公司,四川省成都市高新区益州大道中段1800号G3区10F,Python开发工程师(四川中电启明星)
成都好房通科技股份有限公司,成都市高新区天府软件园D区D6栋-2F,Python爬虫工程师(成都好房通科技股份有限公司)
朗擎网络科技（上海）有限公司,上海上海闸北区灵石路658号大宁财智中心1302,Python开发工程师(可实习)(朗擎网络科技（上海）有限公司)
东方天呈文化传媒有限公司,高新区天府三街199号太平洋金融保险大厦B区17楼,python研发工程师(东方天呈)
成都钱方科技有限公司,成都市天府大道南段2039号天府创客,Python实习工程师(成都钱方科技有限公司)
北京钱方银通科技有限公司,望京SOHO中心T3A座17层,Python实习工程师(北京钱方银通科技有限公司)
成都仁和安信科技有限公司,四川成都高新区天府软件园G5,急招python、PHP工程师(成都仁和安信科技有限公司)
北京河谷科技有限公司,重庆重庆九龙坡区六店子国际企业孵化园C栋,Go/Python后端开发工程师(北京河谷科技有限公司)
上海点荣金融信息服务有限责任公司,局门路瞿溪路,后端Python开发工程师-CR2018(上海点荣金融信息服务有限责任公司)
质数智慧科技（成都）有限公司,北京北京朝阳区三元桥网信大厦A座,Python工程师(质数智慧科技（成都）有限公司)
成都小多科技有限公司,四川省成都市高新区天府三街19号新希望国际大厦A座2207,中高级Python后端开发工程师(成都小多科技有限公司)
成都视达科信息技术有限公司,四川成都高新区世纪城南路599号D6栋8,Python运维开发工程师(成都视达科信息技术有限公司)
广州碧软信息科技有限公司,广州市番禺大道北天安科技园,python(广州碧软信息科技有限公司)
四川虹微技术有限公司,成都高新区天府四街199号长虹科技大厦37楼,python自动化研发工程师(四川虹微技术有限公司)
成都索贝数码科技股份有限公司,川省成都市高新区新加坡工业园新元大道南二路2号,python开发(成都索贝数码科技股份有限公司)
成都市锦江区卓越学校,石牛堰街33号橡树林二期六栋三层,python工程师(成都市锦江区卓越学校)
成都鹭升科技有限公司,四川成都高新区天府三街香年广场T22808号,Python爬虫工程师(成都鹭升科技有限公司)
成都游熊科技有限公司,成都市武侯区西部智谷D区,Python开发工程师(成都游熊科技有限公司)
成都水熊科技有限公司,成都市高新区天府新谷9号楼2单元1505室,python后端工程师(成都水熊科技有限公司)
成都市肆零肆网络科技有限公司,四川成都武侯区高朋大道5号B座301室,python初级开发工程师(成都市肆零肆网络科技有限公司)
兰亭集势贸易(深圳)有限公司北京分公司,北京市朝阳区酒仙桥北路7号彩虹路电通广场2号楼D区,python开发工程师(兰亭集势)
成都萌想科技有限责任公司,成都市高新区天府三街219号腾讯大厦B座14楼1403,Python开发工程师
成都比目鱼文化传媒有限公司, 武侯区锦绣路1号保利中心C座1栋405,Python开发工程师
网信集团有限公司, 成都市高新区天府大道北段966号9栋1层1号204房（金融梦工厂）,Python开发工程师
成都励慧网络科技有限公司, 成都市高新区天仁路387号大鼎世纪广场三栋1303（1号线火车南站C出口直行100米）,Python开发工程师
四川君诚互动科技有限公司, 高新区天府四街,Python开发工程师
深圳市风云实业有限公司, 腾飞大道51号青羊工业园E11栋,python开发工程师
无锡超正软件有限公司, 天府软件园C区,Python开发工程师（弹性工作）
昊盈信息技术（成都）有限公司, 成都市锦江区红星路三段1号国际金融中心1号写字楼,Python Developer Python开发工程师
成都互联汇智科技有限公司, 天府软件园B区206,Python开发工程师
北京映翰通网络技术股份有限公司, 成都市高新区府城大道西段399号天府新谷,python开发项目工程师
成都迈思信息技术有限公司, 成都市锦江区,软件测试工程师--金融行业测试
北京优炫软件股份有限公司, 高新区天府一街535号两江国际B栋3303.3304,中高级Python开发工程师
中电长城网际系统应用有限公司, 成都市高新区天府软件园,Python开发工程师
四川海德智和科技有限公司, 东大街东方广场C座七楼,Python开发工程师
成都索贝数码科技股份有限公司, 新园大道南二路2号,Python开发工程师
成都趣乐多科技有限公司, 成都市高新区拓新东街81号天府软件园C区10号楼3-4层,运维&python开发工程师（高级）
成都捷云智慧科技有限公司, 高新区天府三街69号新希望国际B座2113,Python开发工程师
海南太美航空股份有限公司, 高新区益州大道北段777号中航国际交流中心,Python开发工程师（大数据方向）
成都知享科技有限公司, 高新区天府五街,Python开发工程师
中通服软件科技有限公司, 成都市高新区吉庆一路176号房天下大厦4楼,Python开发工程师
上海柒派文化传播有限公司, 天府新谷9栋2单元1504号,Python开发工程师
成都市思叠科技有限公司, 高新区新园大道428号6栋附215,Python开发工程师
鲜生活冷链物流有限公司, 金石路366号,Python开发工程师
Symbio, 天府软件园,Python开发工程师
成都莱想科技有限公司, 高新区天府大道中段666号希顿国际广场B座7楼,Python开发工程师
深圳市一览网络股份有限公司成都分公司, 成都市锦江区红星路三段99号,Python开发工程师
成都简乐互动科技有限公司, 天府二街蜀都中心1号楼2006,Python开发工程师
北京百联力创信息技术有限公司, 天府软件园,Python开发工程师
成都塞昆思生物技术有限公司, 成都市高新区高朋大道,Java开发工程师
四川妥妥递科技有限公司, 下东大街喜年广场A座29L,高级安全开发工程师
成都金潭数字系统科技有限公司, 人南立交桥附近,python编程老师
上海德拓信息技术股份有限公司, 四川省成都市高新区天府大道中段666号希顿国际广场C座1406室,存储研发工程师
成都睿峰科技有限公司, 成都市高新区天府大道北段1480号拉德方斯大厦东楼10层,python讲师
成都源代码教育咨询有限公司, 成都市高新区府城大道西段399号天府新谷1号楼406室,Python讲师
图丰信息（成都）有限责任公司, 成都市 一环路北一段99号,Python Developer
华永安康成都科技有限公司, 天府大道530号东方希望天祥广场,Python高级开发工程师
成都意顺达商务服务有限公司, 天府新谷,Python爬虫开发工程师
成都南天佳信信息工程有限公司, 成都市锦绣路34号棕北国际大厦1-27-8,软件工程师Python方向
四川天生创想科技有限公司, 成都高新区天府二街138号蜀都中心1号楼1803,网络与信息安全工程师
北京千锋互联科技有限公司, 成都市武侯区科华北路62号北区18楼,python讲师
成都国信安信息产业基地有限公司, 航空港大件路文星段289号,Python研发工程师
北京明朝万达科技股份有限公司, 成都市高新区府城大道399号天府新谷6号楼607,大数据研发工程师
北京深蓝海域信息科技有限公司, 高新区云华路333号国家西部信息产业园10栋320,Python工程师
成都软易达信息技术有限公司, 成都青羊区西一段179号,python抓取/爬虫
成都三秋科技有限责任公司, 阳光新业一号写字楼,Python爬虫开发工程师
深圳市长亮科技股份有限公司, 成都高新区新希望国际大厦,中高级算法工程师（互联网银行）
重庆讯云网络科技有限公司, 互联网产业园6号楼2-1,python工程师
成都赫尔墨斯科技股份有限公司, 成都市天府大道北段1480号高新孵化园8栋3单元德商国际B座04层01-号,Python工程师
成都锐乐汽车服务有限公司, 长益路13号蓝海officeB座1301,python 技术开发工程师
平安科技（深圳）有限公司, 成都市锦江区四川省成都市三色路163号银海芯座,运维开发工程师（成都）
杭州安恒信息技术有限公司, 天府大道北段1480号高新孵化园6号楼110室,python工程师（成都）
成都智库二八六一信息技术有限公司, 益州大道中段1800号304室,python工程师
点融, 天府软件园C5,后端Python工程师 - CD3413
成都阿普奇科技股份有限公司, 成都市成华区龙潭工业园成佳路6号,C/C++开发工程师
广州碧软信息科技有限公司, 高新区天府路软件园,python
四川荣千谷科技有限公司, 益州大道北段333号东方希望1栋7层,软件测试工程师（中、高级）
成都市朗培教育咨询有限公司, 益州大道388号城市春天A座8号楼15层,网络爬虫工程师
成都埃克森尔科技有限公司, 软件园,Python developer
云和恩墨（北京）信息技术有限公司, 四川成都市武侯区(三环以内)人民南路四段27号商鼎国际,python工程师
四川无声信息技术有限公司, 北京市海淀区翠微路12号新华联国际8号4-801室,软件开发工程师
中科创达软件股份有限公司, 交子大道88号中航国际A座5A楼,自动化测试(001148)
成都申帝科技有限公司, 高新区天府四街,Python Web 工程师
北京知道创宇信息技术有限公司, 天府软件园B5八楼,全栈工程师
中智商展（北京）国际会议展览股份公司, 高新西区天辰路88号电子科大西区科技园9栋 蓝色蜂巢,web前端架构师
成都链科信息科技有限公司, 电子科技大学清水河校区创新中心3楼046号,Java开发工程师
成都之维安科技股份有限公司, 成都市二环路西一段8号旭阳国际4栋7层,Java高级工程师
上海易立德企业管理咨询有限公司, 高新区天府三街大有智慧8F,前端架构师
成都卫士通信息产业股份有限公司, 高新区云华路333号,自然语言处理工程师-YYRJ
成都亿阳信通信息技术有限公司, 双庆路10号华润大厦7楼,Java工程师（安全审计）
成都易耕云作科技有限公司, 高新区萃华路89号节能大厦A座2008,数据工程师（GIS/遥感方向）
成都易屋之家科技有限公司, 长华路19号,Python爬虫开发工程师
成都鹭升科技有限公司, 高新区吉泰路香年广场T2 28楼 2808,python爬虫工程师
高伟达软件股份有限公司, 成都市高新区府城大道中段88号中航城市广场,Python开发工程师（新网银行）(1308)